city,vehicleNum
surat,GJ05NS9276
surat,GJ12FA3361
surat,GJ05SF3097
surat,GJ05TB9913
surat,GJ14V7575
surat,GJ05KR5907
surat,GJ05FP9525
surat,MH03BW5814
surat,GJ05CX1950
surat,GJ05TE2172
surat,GJ05TQ2739
surat,GJ05BD5001
surat,GJ05EZ3531
surat,GJ05PZ2739
surat,GJ05PX4862
surat,GJ19BA5359
surat,GJ05CZ1846
surat,GJ05PR5184
surat,MH02EK6594
surat,GJ05HF9508
surat,GJ05MT5894
surat,GJ05MT5894
surat,GJ05BD5001
surat,GJ05PB4188
surat,NL01N5597
surat,GJ02DE7576
surat,GJ05TJ9502
surat,GJ05LY2378
surat,GJ05EX9778
surat,GJ15AV9542
surat,GJ05SA5753
surat,GJ05JK3003
surat,GJ05EW6172
surat,GJ05RH5953
surat,GJ21BK1328
surat,GJ05RZ0006
surat,GJ05EZ6070
surat,GJ05NB9572
surat,GJ05NK7138
surat,GJ05BW1781
surat,GJ05SJ6745
surat,GJ05RP2598
surat,RJ27GD1905
surat,GJ05SH1579
surat,DL3CCS2344
surat,GJ05MA0189
surat,GJ05JS6042
surat,GJ05CT4003
surat,GJ05CT4003
surat,GJ05CT4003
surat,GJ05RT4691
surat,GJ05MY9136
surat,GJ05NT0112
surat,GJ05CZ1174
surat,GJ05NU6491
surat,GJ05NY2799
surat,GJ05JN8636
surat,GJ21DE3896
surat,GJ05PL4894
surat,GJ05NT1402
surat,GJ05KX5312
surat,GJ05TJ1734
surat,GJ26T0182
surat,GJ05LZ6275
surat,AR01U3113
surat,GJ05FQ1911
surat,GJ05KW5446
surat,GJ05GK7122
surat,GJ05EU8331
surat,GJ05PU5756
surat,GJ05LY7864
surat,GJ05MZ6035
surat,GJ05PA6291
surat,GJ05JB1187
surat,GJ27BE9901
surat,GJ05CW2662
surat,GJ05LY6586
surat,GJ05KZ9282
surat,GJ05PX4583
surat,GJ12CT1668
surat,AR01Z3131
surat,GJ05RU1948
surat,GJ05RK1472
surat,GJ05CW8009
surat,GJ05NU8991
surat,GJ06LB6726
surat,GJ05CW9008
surat,GJ05NS2846
surat,GJ19S6314
surat,GJ05SR4228
surat,GJ05PA9418
surat,GJ05SR4228
surat,AS01NC7281
surat,GJ05CQ8458
surat,GJ05SY6485
surat,DD01C9342
surat,GJ05KC7288
surat,GJ05BT6854
surat,GJ05NW3602
surat,GJ05CT7717
surat,GJ05MQ1457
surat,GJ05EZ0854
surat,GJ05KW1282
surat,GJ05KW1282
surat,GJ05CT4003
surat,GJ05RQ3692
surat,GJ05CU8760
surat,GJ05TR5583
surat,GJ05TJ8050
surat,GJ21CA1466
surat,GJ05CU8760
surat,GJ05JR6388
surat,UP14NT4892
surat,GJ05JT8280
surat,GJ05MU2871
surat,RJ14GJ1861
surat,GJ05RN4280
surat,GJ05DA4205
surat,GJ06PF2812
surat,GJ05JR6388
surat,GJ05PJ6309
surat,GJ05CU2968
surat,GJ05RA6439
surat,GJ05KJ0282
surat,GJ05HK3731
surat,GJ05FU3973
surat,GJ05LM6408
surat,GJ05SH7100
surat,GJ19AF2598
surat,GJ05JA2762
surat,GJ05JA2762
surat,GJ05LX2466
surat,GJ05FM0640
surat,GJ05RY3666
surat,GJ05RC3800
surat,GJ05LX4612
surat,GJ05RD4453
surat,GJ05PD0628
surat,GJ05KC5884
surat,GJ05PU7361
surat,GJ05SL1213
surat,GJ05HR1773
surat,GJ05TE8985
surat,GJ05BU3460
surat,GJ05GL1763
surat,MH18BG8877
surat,GJ01RK9570
surat,GJ05MT0108
surat,GJ15AV6255
surat,GJ05KW1282
surat,GJ05KW1282
surat,GJ05PQ1750
surat,GJ01RK9570
surat,GJ05MT7881
surat,GJ05MT0108
surat,GJ05TG6326
surat,GJ05TA4550
surat,GJ05CN5320
surat,GJ05HE9400
surat,MP44ZC7211
surat,GJ05LF3789
surat,GJ05HU0830
surat,GJ05LT0841
surat,GJ05JT0621
surat,GJ05MN6531
surat,GJ05CX6345
surat,GJ19BE5551
surat,GJ05TF5305
surat,GJ34H5304
surat,GJ16AU7921
surat,GJ05LH4311
surat,GJ05RQ5251
surat,GJ05HV3047
surat,GJ19X3690
surat,GJ05LS9141
surat,GJ19U4170
surat,GJ05KC1357
surat,GJ05TQ0056
surat,GJ05AT6402
surat,GJ05RZ2784
surat,GJ05RJ7417
surat,GJ05LY2654
surat,GJ05NB7264
surat,GJ05EU1145
surat,GJ03MB3527
surat,GJ05BX6979
surat,HR38Y9867
surat,GJ05RC5061
surat,GJ05JP1200
surat,GJ05ML4565
surat,GJ05NU7582
surat,GJ05LY9737
surat,GJ05EV0434
surat,GJ05RW0664
surat,GJ05RG4299
surat,GJ35N3300
surat,GJ35N3300
surat,GJ05HZ8106
surat,GJ22U2902
surat,GJ05KG7988
surat,GJ05FT6725
surat,GJ05KM8337
surat,GJ05KR1150
surat,GJ05SF8883
surat,GJ05RT0664
surat,GJ05SY0030
surat,GJ03JH7523
surat,GJ05MG0244
surat,GJ05MF0030
surat,GJ05TE1884
surat,GJ05CM9494
surat,GJ19WB3023
surat,GJ05PR9940
surat,GJ05PM5072
surat,GJ05RC5913
surat,GJ05MN3493
surat,GJ05SJ3710
surat,GJ03FK4544
surat,GJ05RQ3400
surat,GJ05RS3030
surat,GJ05RD3077
surat,GJ01SQ2109
surat,GJ05JN8215
surat,GJ05JU2524
surat,GJ05KT0870
surat,GJ05TP6383
surat,GJ25J3383
surat,GJ05LA4440
surat,GJ05SF0220
surat,GJ05RD6903
surat,GJ05LA4440
surat,GJ05SR4219
surat,GJ16CK1917
surat,GJ19BM3520
surat,GJ19BM3520
