city,vehicleNum
vadodara,BR06BT6430
vadodara,GJ06QK7538
vadodara,GJ23CG1452
vadodara,UP82T5736
vadodara,GJ13MM8530
vadodara,GJ12BW9926
vadodara,GJ05JT5118
vadodara,GJ06QH8862
vadodara,GJ01FT2653
vadodara,GJ23DH7820
vadodara,GJ06QH4019
vadodara,GJ23X9312
vadodara,RJ04GC4901
vadodara,GJ06RB2434
vadodara,GJ06FS5348
vadodara,GJ06PN3236
vadodara,GJ06NS4473
vadodara,GJ36T4242
vadodara,GJ07CR2380
vadodara,MH22Z2626
vadodara,GJ08CS5202
vadodara,GJ06QH3664
vadodara,GJ06BW5277
vadodara,GJ06KE5655
vadodara,GJ27BS4934
vadodara,GJ06SF4511
vadodara,GJ23CA8900
vadodara,GJ06PS4091
vadodara,GJ06EH3331
vadodara,GJ06PS4397
vadodara,GJ06BV1033
vadodara,GJ05JR2333
vadodara,MP11ZC9998
vadodara,GJ06KF5035
vadodara,MP11ZC9998
vadodara,GJ17Y9182
vadodara,RJ19GH9413
vadodara,RJ27GD2815
vadodara,GJ06NS0972
vadodara,GJ27TF4599
vadodara,GJ06NR3956
vadodara,GJ06AW8433
vadodara,GJ14AK6442
vadodara,GJ06JM5505
vadodara,GJ05NB4187
vadodara,GJ06QM2444
vadodara,GJ06MB4185
vadodara,GJ06NC7911
vadodara,GJ06QL4235
vadodara,RJ14GJ4999
vadodara,UK06AY9212
vadodara,UK06AY9212
vadodara,UK06AY9212
vadodara,GJ06QG5073
vadodara,GJ06LQ0991
vadodara,GJ06PH9835
vadodara,GJ17CF9677
vadodara,GJ06BV0284
vadodara,GJ06PK6003
vadodara,GJ06QF2372
vadodara,GJ06BV0284
vadodara,GJ06KP0947
vadodara,GJ06PK0687
vadodara,GJ05RS3154
vadodara,GJ01BV1915
vadodara,GJ16DK8246
vadodara,GJ33F9313
vadodara,GJ01RN4714
vadodara,GJ06QC4713
vadodara,GJ06PF3091
vadodara,GJ16AJ0993
vadodara,GJ16W9842
vadodara,RJ19GC6685
vadodara,GJ20AP0867
vadodara,GJ17N3966
vadodara,GJ06NH6151
vadodara,GJ16W6363
vadodara,GJ27X2973
vadodara,GJ08AW1509
vadodara,GJ02AT2133
vadodara,GJ01ET2665
vadodara,GJ16DA3246
vadodara,GJ15CN4630
vadodara,GJ12BZ1170
vadodara,GJ12BZ1140
vadodara,GJ12BZ1440
vadodara,GJ15AD8707
vadodara,GJ15CL2943
vadodara,GJ27BJ8795
vadodara,GJ06PL1777
vadodara,GJ06JQ7601
vadodara,GJ06RB2893
vadodara,GJ23CE7291
vadodara,GJ06FG9913
vadodara,GJ06KM8253
vadodara,RJ22CC3716
vadodara,GJ06LQ4505
vadodara,GJ01RD4365
